"experience_id","position_id","name","description","hyperlink","start_date","end_date"
"1","1","SYF-Pal","Facilitated awareness workshops on war remnants and explosive ordnance risk education.",NULL,2026-06-06,2026-07-05
"2","2","SDF","Professional Monitoring, Evaluation, and Reporting Officer",NULL,2025-06-01,2026-02-03
"3","3","WEFAQ","Community Awareness Trainer in Humanitarian Fields.",NULL,"2024-01-01",NULL
